StartDate,EndDate,ResponseId,Appliances-Score,Locks-Score,Locks-Text,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Locks_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,product,price,range,availability,reviews,servicing,brand,experience
06-10-22 12:26,06-10-22 12:55,R_3jccR3bBKK7wEG6,,,,0.0,0.528188825,0.0,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
06-10-22 12:51,06-10-22 13:07,R_3JykQz7s21Es4sS,,7.0,This brand is leading in lock manufacturer from centuries ,0.010820832,0.363541812,0.625637353,Neutral,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Shop or Store Owner,25-30 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,neutral,
06-10-22 12:53,06-10-22 13:12,R_2dA2Z6kMuhyN1VP,8.0,,,0.0,0.528188825,0.0,,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,15-20 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
06-10-22 13:07,06-10-22 13:13,R_2v92tHbwP2I2Nxb,,10.0,EXCELLENT SERVICE,0.116301231,0.657688499,0.226010278,Neutral,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",5-10 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
06-10-22 12:56,06-10-22 13:23,R_1MWetzef2OzVjUP,,10.0,That is very good and trusted brand in the long time to market ,0.002833835,0.044911485,0.952254713,Positive,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Shop or Store Owner,Below 5 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,positive,
06-10-22 13:18,06-10-22 13:32,R_2q8KP4Sy7qzz4c2,9.0,,,0.0,0.528188825,0.0,,Hyderabad,36-40,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Shop or Store Owner,30-35 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
06-10-22 13:24,06-10-22 13:33,R_1ohabPmXE3dpvD8,,,,0.0,0.528188825,0.0,,Ahmedabad,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,5-10 Lacs,"Married, no kids ",,,,,,,,,,
06-10-22 13:27,06-10-22 13:35,R_1QAYOyOxU8nmoVZ,,,,0.0,0.528188825,0.0,,Bangalore,18-21,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 13:17,06-10-22 13:40,R_1DC1opGUQRc6TY4,,10.0,Beaca the Godrej has thick receptacle and a flange  with five screws that leading  to strong. Safety  and I really  like,0.00568938,0.142862365,0.851448298,Positive,Lucknow,18-21,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 13:17,06-10-22 13:46,R_yrVX0yCAiYEQqKl,,,,0.0,0.528188825,0.0,,Kolkata,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van",Unemployed,,"Married, no kids ",,,,,,,,,,
06-10-22 13:38,06-10-22 13:52,R_XLeRW68BqLmFv3j,10.0,,,0.0,0.528188825,0.0,,Lucknow,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
06-10-22 13:39,06-10-22 13:54,R_3JmHb8fq0fCNv9G,10.0,,,0.0,0.528188825,0.0,,New Delhi NCR,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Service (Rural or Urban),10-15 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
06-10-22 13:45,06-10-22 13:56,R_22R1FTIFnz99a94,7.0,,,0.0,0.528188825,0.0,,Hyderabad,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
06-10-22 13:40,06-10-22 14:00,R_2agUVKf0aLGqD3m,7.0,,,0.0,0.528188825,0.0,,Kolkata,41-45,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Married, with kid(s)",16-20 years old,,,,,,,,,
06-10-22 13:44,06-10-22 14:03,R_3PSKwDDa9Tvtkua,10.0,,,0.0,0.528188825,0.0,,Pune,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,,
06-10-22 13:42,06-10-22 14:04,R_3gLXIOhi8QY2YjH,,10.0,"Godrej is an Indian brand, its a best choice for digital door locks. It use latest cutting edge features and biometric safety solutions. ",0.002569162,0.0969823,0.900448501,Positive,New Delhi NCR,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,,positive,,,,,,positive,
06-10-22 13:54,06-10-22 14:06,R_2ciQyLRaPUbRQpK,5.0,10.0,They have the best security solution and offer different products at affordable prices. ,0.003730284,0.038891111,0.957378626,Positive,Bangalore,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Junior/ Supervisory,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,,,,,,,,
06-10-22 9:59,06-10-22 14:27,R_2wyPShMdp1lMMhQ,10.0,,,0.0,0.528188825,0.0,,New Delhi NCR,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 14:46,06-10-22 14:56,R_OH8GYlHWyiW3t5f,,10.0,Godrej is a trusted brand which has been making locks for long years. They are trustable and they make premium products. I have been using your products for a long time and had no quality issue.,0.005433727,0.069444224,0.925122023,Positive,Mumbai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",10-15 years old,,positive,,,,,,positive,
06-10-22 14:59,06-10-22 15:15,R_1M65xzbOVMxeGoW,10.0,,,0.0,0.528188825,0.0,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 13:16,06-10-22 19:28,R_1f460CVbwU2hGcb,9.0,10.0,Because Godrej is the most well known brand in India with a strongest products not only in locks they also have a strongest wardrobe,0.002002988,0.076062173,0.921934903,Positive,Mumbai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,positive,
06-10-22 19:33,06-10-22 19:45,R_3PXN1Vbla9jZmnK,,,,0.0,0.528188825,0.0,,Chennai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Other occupations,Below 5 Lacs,"Married, no kids ",,,,,,,,,,
06-10-22 19:34,06-10-22 19:46,R_1eVJ0vZW3EVCLXX,,10.0,Godrej is a great Indian company which have a long tradition. Its locks are great and strong is the reason.,0.002888304,0.040395059,0.956716597,Positive,Chennai,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 19:33,06-10-22 19:46,R_2am1u6roME5jozp,6.0,,,0.0,0.528188825,0.0,,Chennai,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Washing machine,Personal computer/ Laptop",Service (Rural or Urban),Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 19:35,06-10-22 19:47,R_Oj3VZ0hyJjTxoR3,7.0,,,0.0,0.528188825,0.0,,New Delhi NCR,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine",Unemployed,,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 19:44,06-10-22 19:55,R_RV3ROqdCr7QWYtX,,8.0,Because I'm using it ,0.104740925,0.716913462,0.17834565,Neutral,New Delhi NCR,22-25,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine",Student,,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 19:50,06-10-22 19:56,R_3NzeQ59Ty68ym5P,,,,0.0,0.528188825,0.0,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Shop or Store Owner,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 19:47,06-10-22 19:58,R_2rT2GK3wClL57Ee,9.0,,,0.0,0.528188825,0.0,,Chennai,46-50,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Married, with kid(s)",16-20 years old,,,,,,,,,
06-10-22 19:48,06-10-22 19:59,R_1gU6rnI6CcoxzsW,,6.0,I have had problems with Godrej Cupboard Lock,0.883209944,0.112730742,0.004059299,Negative,New Delhi NCR,18-21,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Student,,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 19:47,06-10-22 20:03,R_3nithmMiuZO3QDd,,10.0,because it is very safe ,0.013465998,0.260072589,0.72646147,Positive,Mumbai,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,,,,,,,,,
06-10-22 19:41,06-10-22 20:07,R_24o1s7g1M3xuCVd,,10.0,Because this is very popular and trustworthy brand ,0.00268447,0.069767647,0.927547932,Positive,Mumbai,36-40,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",10-15 years old,,,,,,,,positive,
06-10-22 19:58,06-10-22 20:07,R_1oGShD3yEP4S6ue,10.0,9.0,It provides good services.,0.007382211,0.087679856,0.904937923,Positive,Bangalore,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,,,,,,,,
