text,text.1,text.2,text.3
Very trustworthy and reliable ,,,Very trustworthy and reliable 
Godrej made as many product kitchen appliance,,Godrej has good trusted brand item in every product,
,,because godrej is an old company,because that is the company i trust
Ites trust worthy brand ,I use there products and I am very satisfied about that product,,
Because they are good for their products ,,Good product ,
Because of the experience with our refrigerator.,,Based on experience with cup boards,
,as it Quality is very good,furniture is Pretty good,
,Premier lock company with wide range ,Qualiry products and good after sales service ,
I have purchase Godrej washing machine very long ago in the past after that I have purchased other brands so experience with this brand is so so,,,Because we have used Godrej security system recently in our showroom and they provide best services. Helpful customer service.
"Godrej Group has an overall rating of 4.1 out of 5, based on over 359 reviews left anonymously by employees.",,"Godrej Consumer Products has a strong market position in the market with the products like soaps, hair color, hand sanitizers as well. There are 100 customer trusted products in the market.",
"Not prefer to answer 
",,,
Because goodrej is not a leading brand in homoappliances. It is a average performing brand.,,Because goodrej is a very good brand of furniture. It manufactures very good and durable quality of furniture.,
,,Godrej is best company it's field,Godrej os best company in it's field 
,It's famous brand . It has very safety locks and in the affordable price too.,"Godrej Interio is India’s largest furniture brand. Wide Range of Genuine Products, Easy Returns, ",
Godrej is the famous brand in country.,,Godrej is the best brand of furniture.,
It is very favorable ,,,
,Because of it's quality ,Because of it's quality and lifeline ,
,it is very good lock system,,very helpful system
,"Godrej locks are nice,sturdy and durable.",Godrej furniture looks good and are durable too.,
Because I have had a bad experience with Godrej a few years back,,I gave this score because I have lost trust in this brand ,
,,Because they deliver quality products and  services ,Because they are good in making in good product 
,Very convenient for use. ,,Comfortable usage. 
It was a good brand previous but their performance is not upto the mark.,,,Now a days they are not doing well 
It's very good appliances ,,It's very good kitchen product ,
"Well, it is among the trustworthy brand which significantly influences people. It is indeed credible.",,Godrej in indeed been a trustworthy brand for a long back and has a good impact on every home. It is an incredible brand as well.,
,Godrej gives best quality and it's lock features are amazing ,Godrej gives best quality products and it's very good features and quality ,
,,,
9,,10,
It always satisfy what I need.,,It is a brand that does not disappoint me everytime I buy the products.,
"Godrej, even though it provides the best quality equipments, the brand is late to bring some features to its product",,Godrej produces the best durable products and is one of the brands i trust on the basis of durability,
Because I like very much this product ,,Because I like very much this product ,
,,60,
,,Good ,I don't know 
,,,
,Nice product,,Product is good
I have used this brand product not attractive and modern according to demand of time.,,Godrej is trustworthy company but I want modern technology and look in this brand like other brand according to my choice.,
,,It was a pretty good brand and so many years in field. ,Good one.
,,,
,,"Godrej Interio is India's largest furniture brand in both home and institutional segments. We started our journey from manufacturing the humble Storwel cupboard 80 years back to an altogether new avatar with vibrant, innovative and diverse product portfolio – it's been a brilliant and exciting journey for us.","Since 1902, Godrej Security Solutions has been the nation's first choice when it comes to integrated security solutions for families and institutions."
8,,10,
Very esay lock a d key handle  very  smooth.so i like very much. And i am provided to everyone this lock. ,,I like very much and very compatible. ,
,,It is trustworthy brand from long long years ago,
,It is a long lasting and durable brand for lock,,
It's good ,,It's good ,
,i am using products of godrej,i like this brand,
,,It's a trusted brand and I used it from many years,I have vast experience of using this. 
This brand has good quality,,,It is always trust worthy
,,,Bhisiwjebhdudifu hai jsjskwkwkskd ka djfhe
,,Good service,
Because it's brand is so popupler and good quality products,,Because it is the best brand forever.,
ACCORDING TO EXPERIENCE,,,FROM EXPERIENCE
Not good technology ,,,Good security devices by godrej 
I give this score because I have used godrej product before and while using it i didn't get customer service properly which I wanted so I am not satisfied with godrej.,I score this to godrej because now I am using this product and it works overall well and satisfying so I score this to godrej.,,
,,It's very good quality service,Godrej products are very innovative
 I Iike this brand alot. So I give this score.,Godrej provides good quality services to their customers.,,
I think that score,Godrej deserves,,
,"Trusted, reputed and used brand by me and great safety experience with it",,Great features and excellent reliability.Reasonable pricing and easy availability.
I love their products,Durability,,
IT is unexpected,,,Because of work and all
Godrej appliances are working well Year to year,,,This brand products are safe and secure
Model is not that much good. Colors are not attractive ,,,
