text,text.1,text.2,text.3
,Its capacity is good I love godrej system is nice,,Because system is nice love to secure my home with thease
,Godrej is one of the best brand i have been using ,Well godrej is a good brand but can have better goods,
,,This is my one of the favourite brand ,This is my one of the favourite brand 
,Because I trust this brand ,,Because of brand value 
,,Because it's product quality is too good ,Because It gives best and perfect product 
,,It's a trustworthy and high quality brand,It's an old and trustworthy brand with high quality products 
,,It is a good reputed quality products,It's a quality and good products
,,Because this brands provide good service ,
,,Because of their quality products ,Because of its strongness
,,Because of brand reputation and best services.,Because of good security features and best price.
,Because I like it,,Because I like it
,,I have personally used its product and based on longevity and quality of the product ,"Based on my experience, easiness to operate,operational quality and privacy keeping "
,,I have purchased a lot of products from godrej and all are best and durable.,Liked the products 
,Good morning and I hope you are doing well in your class today so we can make a decision about how ,,Good to know I am still in a good way and thanks again and have a good way to know I am in a meeting and thanks again and have a good 
,,"It gives good furniture
",Good
,,It's must,It's obvious
,Good to hear that you are ,Good Good I am writing this email ,
,It had great quality products ,,It has a great quality locks
,,Godrej is good and premium quality brand ,Because godrej provide us premium quality for any products 
,More sleek design with pro-safety features along with super-sensitive touch feature,,wide range options with quiet innovative products. We can trust on this brand
,It is very strong,,They are very secure
,Good thing,,Very bad one
,,Because I love it's durability and best in its price. ,
,Trusted company provides good services Goldrej manufacturer safe and quality locks,Safe and a modern company produces quality products,
,,Has a reputed brand name,Has a reputed brand name
,,,Good brand
,Its very good,Nice,
,,Because it is a brand that i mostly trust ,It is the best security solutions for home . The most trusted brand 
,Very safe and secure locks,,Very safe and secure and reputable brand
,,2,
,"During the interview remain calm, be positive and feel confident from within. Face your interview panel with confidence and there will be no looking back after it. Since there are no specific questions asked in a Godrej interview, no specific preparation is required",,"Godrej and Boyce Manufacturing Company Limited operates as a multi-commercial service provider. The Company engages in construction, engineering, manufacturing consumer durables, aerospace, defense, logistics, technology, health care, tooling, process equipment, material handling, locking, and storage solutions."
,,Excellent material used and finishing is also good ,
,I love it and easy to use,,"Easy to use 

Very helpful "
,Great brand value ,,Great brand value 
,Because it is a very popular brand in india ,,
,It has a great quality of lock,,It is good for all people
,,Good luck ,
,,Godrej makes quality products which are durable and gives elegant look to my home while lasting for years the brand has an positive image in the market and has disappointed me with the product experience.,"Godrej security solutions are safe and easy to use, product quality is good delivering long lasting performance."
,Quality is not good ,,
,,Godrej is a good company but sometimes it has many bad remarks ,Locks of this company is very good it gives really a digital locks to our home
,I heard it's very strong and durable ,,
,"Safe and secure locks.
Passwords and number locks available",,"Safe and secured.
Hassle free.
Relaxing"
,Quality is not good,,
,95,,
,,Best,I love this brand 
,Because it has highly security locker,Because it is a good brand for kitchen,
,,9,Because godrej locks are smooth and robust . I am using it from years and these are fine.
,BEST SCORE,,
,,Because it's good,
,It has strong security ,,It is strong and unbreakable 
,Godrej locks are very famous and also very strong there are different varieties of locks available for this brand at reasonable prices,Godrej is very good,
,,it is so good,i like this brand 
,,,
,,Good morning and I hope you are having a great time in the next couple of days and I hope you are having a great time in the next couple of days and ,Good morning and I hope you are having a great time in the next couple of days and I 
,,Best quality product and reasonable price ,
,,It most trusted and well known brand,Because I love it and most easy to use
,10,10,
,,Because I realised there quality ,My experience 
,It is strong ,,It is very good and nice 
,Because for godrej i have a trust that it's the best.,,Because this is best for me
,Used it. Its awesome ,,
,I have personally used them,,I use them
,,Because I have used godrej products and is good quality ,
,It is the most trusted brand,,Itvis trusted brand
,I have used it so.,,I have used it to 
,I gave this because godrej has a reputed brand value and I trust this company ,Because I like the brand and have a lot about it on various sources ,
,Its products are awesome ,,Their services are sooo good 
,,,I love 
,I would 10 star to this brand because this brand is best.,,Because this are the leading brands in this sector 
,"Because,brand is old in market and its make very strong locks",,
,Because i have been using it currently,,I have been using it for 4 years and i know its capabilities and durability
,Because it's an Indian brand and provide good range ,,Because of the quality of there lock and there features 
,Because it's best,,Very good 
,Because I less like it,,Because I less like this product 
,I like the technology of godrej and their products features ,,I like the new technology of godrej with fingerprint locks
,I am using this brand for a long time. Not only locks but a lot of products including smart home security systems. They're all of good quality and my overall experience with Godrej is really good.,,Godrej products are awesome and are of good quality. Products are easily available.
,It's reputed brand,,It's good quality brand
,Godrej is very good brand,,Godrej is very good brand
,Useful links to be ,,It is very good use
,Godrej get best quality locks and get safe and secure my home ,,Godrej get best performance of home locks and get safe and secure my home 
,Great value ,,Great quality products 
,Good introduction ,,Good intrested 
,,,Because its security system is very good 
,,,
,Godrej lock is very good quality ,,Good quality products 
,,,It has complete security solutions for my needs
,Good morning I was wondering what is going to happen to know that you have been in contact for the year of it and ,,Good to hear that you're having a great day today with your new family in a few months so we can get a better price 
,It is good ,,
,Good performance so good security good feelings,,Very game secure unique features really good.
,9,,9
,It's Old trusted brand ,,
,,,I like it very much 
,95,,93
,Godrej is trustworthy brand.,,Godrej provide very good quality security solution and locks
,,,The quality of the product is gone. Finishing is nice and it is highly durable
,I love it ,,The quality 
,,,Because good protect but more to improve
,Good morning and I hope you are having a great time in the next couple of days and I ,,Good morning and I hope you are having a great time in the next couple of days and I hope you are having a great time in 
,"always offers new innovative products.
and other products of this brand we use.",,I have a deep understanding and knowledge on this brand.
,I heard about it ,,
,Easy fine,,Security 
,,,
,Because godrej is a trustworthy brand,,Because they are trustworthy brand.
,,,Because best ever security Lock
,"I like Godrej so much because of His price and offers ,promotion It costs us very low In the whole market .So it demands will also be more",,godrej   cost  us very lowest price  in The market for this reason I prefer godrej than other brands
,It is easy available in market and trustef locks. ,,It is a trusted brand
,,,Because of its monthly plan is that you are not working properly as I have a same time is there any way to give you 
,It's a brand ,,It's a brand new image 
,It has quick response,,
,Godrej is very good brand,,Godrej is very good brand
,,,Very nice products and services provided 
,Very strong and secure ,,Very comfortable brand with trust
,Wonderful service great food delivery ,,Brilliant 🤩 great food service delivery 
,Godrej is very innovative in designing next age locks and security solutions for home and commercial properties. They come up with new and unique ideas.,,Godrej is market leader in home security solutions and home safe designs. Godrej always come up with innovative and unique products in this category. 
,Very good brand value,,Very good brand value
,,,Godrej is best brand for security 
,Very good ,,Very good 
,Because it is best at providing services,,
,,,Because i have used it and its been there in the market since a long time. 
,It has strong security system ,,It is strong and durable 
,Nice brand,,Nice
,It design was quite simple and durable offers good satisfaction while using the locks,,I like the design and quality it was very safe
,It's very secure and strong for home and design is vey quite unique,,The safety system is trust worthy and the design of system is very classy and difficult to Crack in a good sense
,Nice brand,,Nice
,09-Oct,,09-Oct
,It trustworthy and safe,,Because it's great
,Because it retains for a long time and it's easy ,,It's a very secured brand and you can use it for long
,very best brand,,very best
,It's very strong and stylist,,For its strong ness
,Because Godrej is best for locks it gives high security.,,Godrej is so good for security purposes. It give high end security
,,,Because it is a great brand and has a good life firvthe appliences
,It is good and cheap.,,It is a reliable brand.
,Provides durable products,,Provides good design and wuality products
,,,It is very good and amazing service 
,Its the best,,The best in market 
,,,Because it the best brand with the best features in its industry segment 
,Good quality and work for longer time.,,
,I have been been using this brand for very long time and I'm very satisfied with its prducts,,Because i can say the same reason and the reason is that i have been using this brand for a very long time and I'm really happy with it.
,,,Very good Service Provides Experience Was Very good 
,It is very good efficient company to this products. Very east to use anyone.,,Very easy to access. Economic one so it's reasonable one.
,,,Deserve it
,Because this is trusted brand ,,
,"Very good popular brand in our country, good quality products they sale.",,Very good quality locks and very safe for security reasons.
,Good product quality ,,Good quality products 
,,,Nice lock
,BEST SCORE,,BEST SCORE
,Because it's a leading brand,,Because it's a leading brands
,,,Mind blowing
,"It’s good company provide durable products, product looks is also soo stylish",,
,,,Because godrej is a well known brand
,It is turstable brand,,
,Good,,Boo please 
,Branded ,,Trust worthy 
,,,Because the products are long lasting and safe.They also assure the safety of product.
,Because it's a most trusted brand since so many decades ,,Because it's  most trusted safe brand
,Its a nice brand with good reputation ,,It have good reputation 
,The trusted and qualty servies ,,The trusted quality 
,Great products ,,Great features 
,,,Because its trusted lock and protect
,It is a trusted brand and used by me for years,,It has been used by my family for years so it has built up trust
,,,
,godrej brand is most usefully and its unique,,tha godrej brand many people use so give safe score for godrej brand
,It is very useful for us,,It is very useful for me
,Because godrej is very secure and give me strong security ,,Because Godrej provides strong security and we'll protection 
,i like it ,,i like it 
,Trusted brand,,Trusted brand
,,,Godrej is good known company but some companies have Better products then godrej
,This issue bhee nahin hai ki cycle ka kha bhi nahi aa raha,,
,Well-known brand in India and offers cutting edge digital and biometric choices,,Brand popularity and quality of products
,"Brand reputation, best service, long lasting, New technology ",,It have a good reputation in Market and value for money products
,I am happy with the product,,I like the product
,It is good in use and durable ,,Godrej products have  good home smart solutions 
,It is very useful for me,,It is very useful in my case
,An old trustworthy brand.,,A trustworthy brand since years. 
,Because this locks lastlong and buit quality is top notch ,,Because they have making them since a long time and their quality 
,It's a very nice and famous brand worth recommending,,
,5year warrenty,,Godrej Security Solutions received a score of 8.38 out of 10 . 
,,,Good i like
,"Beacuse of security features ,modern locks and availability in the market ",,
,For safety and secure,,It's safe and secure
,Lock quality is quite strong with economical pricing ,,Has wide range of innovative products for both office & home usages. We can trust in this brand
,Because of ye quality of it's locks,,Because of tress it's product quality 
,Godrej locks are secure and digital,,Godrej has a secured lock system
,They have wide range of locking system like 2 lever which make then more effective,,Godrej have long history of working in lockingv system they have develop most safest locker 
,"
Excellant product , reliable and easy to use. Value for money , Has finger print, number codes,smart card 02 of them, and physical key. ",,"
It is a long lasting lock and convenient to install. It also ensures easy utility as it comes with a stylish curved handle of Mazak steel in satin steel . "
,Godrej is a very good reputed company ,,A very reputable company that is serving from long long years
,,,Because good quality and easy to used 
,Because it is a well-known brand and it has a good reputation in the market in lovks and safes,,As it is a well-known brand and has a good reputation in the marketplace 
,,,Because I had previously used the brand and had some kind of issues but at virtually speaking it's good option. 
,9,,8
,Beacause this company uses high quality of strength materials and good services of product ,,
,Because it is very easy to use and trusted brand,,Because it is very trusted and reliable
,As I am using the product I am feeling very good about the product,,
,It is durable ,,
,,,100
,Verygood,,Very good and strong
,It is very long live,,
,,,These brands security locking system is very good and these companies also good
,That's a good and secured lock ,,Secured 
,,,As this is very secured for each purpose
,,,It's a good reputation company.
,,,
,it's very good,,very good
,,,I experienced it personally so I gave this rating 
,Very good ,,Very good 
,"Longevity, trust and after sale service",,"Longevity, trustworthy and after sale service"
,"Durable, last long more than other brands I have used",,Less maintenance
,Trusted brand,,Have been using godrej for a very long time.. Its a trusted brand
,I am currently using hidden locks and I feel that they are strong locks,,Because I like this brand when it comes to safety 
,,,
,Godrej is the most reputed and recommended locks by family and friends. It is the most secure brand.,,
,Reputed brand with best security ,,Best brand in the products with best price and safety
,Because of the world is not what I have to do it and it was the first time I will be there ,,Since I am a fast and reliable and we are going on your phone was chargi and we are in a meeting with 
,Because I trust this brand ,,Because I trust this brand 
,10,,10
,Best brand & good quality ,,Best quality & trusted brand
,It is strong,,
,,,Because it provides the best quality 
,Because it's very hard,,Because it's very hard and safety
,Because godrej is my most favorite brand,,Because it is one of my favorite brand
,,,
,Because it a brand ,,
,Because it's very safe and hard ,,Because it's very safe and hard
,Very safe and durable products offered by the company,,Safe and trusted company provides good service to their users offerings exciting features and benefits
,It is very good services ,,It is very good services 
,,,It has best quality products great service security sensors are best quality 
,I give score to godrej 10 to 9 because it provides us a best products.,,"Godrej has proven time and time again that it's one of the most trustworthy, reliable brands in the lock industry."
,Godrej is the brand trustworthy and also good reputation brand ,,Godrej is the best one to brand trustworthy it is the best one to identify 
,Because it is oldest company and trusted and we are always using this brand for years,,Because of it's recent features and new technology
,Because I always use Godrej for these type of services and it has never disappointed me,,As I said I have always used Godrej and it is a trusted brand by me and my family
,Because I know Godrej power and security I am using currently,,Because I have 5 Godrej brand lockers
,It's a brand and are around log company which is very effective and useful give the powerful locking system. ,,Very good strong rocking system and a brand also. 
,It's trustworthy,,It's trustworthy
,,,
,,,I have personally used the locking system by godrej and also seen the Boyce so I gave this score.
,i like it,,i like it
,It's trustworthy,,It's trustworthy
,very best,, Godrej very best brand
,Because sometime it creates problem in unlocking,,Its a trusted brand and using from long time 
,I will give it out of 10,,I will give it out of 10 
,,,
,,,
,I liked the godrej lock system it is easy to install and of high quality ,,
,"My trust  in godrej due to its performance, fursbility & good service. ",,
,That's easy use and won't be rustic as soon ,,
,Good to use it very much ,,
,It is good to ,,
,,,
,Biometric safety solution,,
,Good for us it is,,
,Strong and secure locks,,
,Because Godrej provides strong security ,,
,I like it very better,,
,,,
,None ,,
,Good product ,,
,It is a trusted brand and my friends uses it,,
,,,
,Trusted brand ,,
,6,,
,It has strong security system and is made in india brand,,
,Godarej is the best brand for home products because of its service and quality of products. ,,
,It is very useful ,,
,Godrej is very good brand,,
,10,,
,"Durable, strong, long lasting locks",,
,It is an old and trustable brand,,
,Good and premium brand,,
,I trust the brand.,,
,its a great brand,,
,,,
,Very good quality locks,,
,Because of its quality issues and less no of variety ,,
,Because it's very secure and simple ,,
,Its a best brand for lock ,,
,"Godrej made smart, trustable and good looking locks",,
,"because, the brand  is very best i love it and  it has nice security guide",,
,its very goo and trusted,,
,"Reliable brand for decades, affordable, trendy",,
,Godrej get get performance of locks,,
,GODREJ HAS TREMENDOUS AWESOME PRODUCTS FOR WHICH SECURITY WILL BE AT THE TOP NOTCH LEVEL.,,
,It gives good quality locks,,
,,,
,Good quality products with affordable cost ,,
,9,,
,Excellent product quality and customer service,,
,It's lock is good.,,
,used and trust,,
,it is good to put it on,,
,Very good and very happy to help,,
,It's trustable ,,
,Because godrej is very good company ,,
,Because godrej provides latest technology and strong security ,,
,It is made in india and has a strong security system,,
,it is so very good chouse,,
,10,,
,It was a great company ,,
,Good product ,,
,Godrej is one of the best Indian brand. I like features and quality of the product which is very unique and different from others. I love the brand value and warranty. ,,
,Very useful ,,
,The good qualities of the product,,
,This brand is good and i am using from 6 year,,
,,,
,Good product ,,
,I love the brand it's products because it's trusted and reliable brand which is established more than 100 years ago.godrej has reputation over the world market for its high valuables ,,
,Godrej is Indian Brand and it makes finest quality locks ,,
,It use good brand,,
,9,,
,Because it's most popular ,,
,Godrej is very good brand,,
,Because I trust the brand. Mostly these brand products is used in our home,,
,Best security features and good company,,
,Godrej offers good quality product ,,
,Branded and man6 strong ,,
,Because it's the oldest company,,
,The brand deserve this,,
,It's famous and reliable.,,
,The brand is very popular and has strong security management system ,,
,i like it ,,
,Because it the popular branded company   which make its products antique and it's products quality is very good.,,
,Durability no longer as before. Deteriorating brand. Design improvement lacking. Standstill as far as progress is condemned,,
,Godrej is one of the best brands in locks for homes and offices.  The quality of the brand is credible. ,,
,Godrej is one of the best locks and safe manufacturing brands in the market. Their quality is top notch and last forever ,,
,Because Godrej is well know trustworthy brand with great products,,"Because it has great quality, long lasting products"
,,,
Because of good quality ,,Very good quality ,
Nrhgnai nb3y,"Wxyy   as zx,Uecz",,
The quality of the product is not good.,,,Premium products
,,,
,,It's ok ok product,
,Godrej is good ,,Godrej is unique 
,Because it's good ,Because it's awesome ,
,I like the brand,,They provide really good products
,it is good company very old and legit company,,it s good
My experience ,,,My previous experience with godrej 
Good and best quality products ,Good and best quality service provide you ,,
Because I personally use this brand and I am fully satisfied with it.,,,I like their product and I am fully satisfied with their service Andvproduct.
,Because its very good,Because its great,
very better,,,very best
bad experience with godrej product ,,,
,"because its very good
","because its awesome
",
,trusted brand here in India for long time and gained reputation,,trusted brand and gained reputation over the years from customers
Because goderej is best appliance company,,,Goderej is best company for all types of security solution
,,,
100 % score is a very good godrej company,,,Godrej brand is a very good
,,it is goodd for all time,like iy
I had good experience with this products ,,,Godrej has been the best product I have used when I think of security products
,I had good experience with this priducts,,Godrej has been the best products when I think of security products
,,Best products,Best products
,,,This brand is best and gives best facilities
,Very good locks,,Very good brand
,,,
,,very good,very good
,,Best products,Best products
Good ,,Very good ,
,Good,Very good,
,It is a good brand which manufactures good locks and is available nearby ,It is a good company to purchase furniture ,
,"It's one of the best brands in digital locks security, their products are secure, smart , made with latest technology and are fo generally good quality ","Godrej is kind of average when it comes to furniture, and also doesn't provide emi, or furniture in rent like offers like Ikea does",
,,,
,,,Very good quality of service and security 
,,,Good quality of products 
,,,
It well known brand in india ...,It's easily available in india,,
I like their quality of products and services.,I like their quality of products and services.,,
Because someone else of my friend has brought this brand's product and I have seen that it works good ,,Because I have used it's products and I'm satisfied ,
Very good products,,,
My friend has this product ,,I have this product ,
It is an old and a trusted brand but in its way down in the past few years.,,,Best and most trusted home security and safed solution provider since a long time.
Excellent brand I also use it,Excellent brand I also use this ,,
,,,
,Because I have a lot of product using experience with godrej locks. Their products design and performance makes me feel like to give that score.,Because they are expert in making home storage and furniture with strong and sturdy structure.,
Because i  saw reviews,,,Because they are not good enough
,,,
Because it is good.,Because it is good.,,
godrej has a very wide range of products with quality,,godrej has a very wide products in furniture with new technology,
,,Good brand and service ,
,,Quality and durability,Quality 
it is very good product i always recommended this,,it is very good product i always recommended this,
This product is very good quality ,,,This product is very good quality 
,,,
,,I don't have any interest in it,
,,Godrej is one of the oldest brand with proven products.,Godrej security products are of high quality with reasonable price.
,,,
,,THERES ARE PRETTY OTHER OPTION AVAILABLE IN TERMS OD QUAILTY,
,,I had purchased godrej wardrobe ,Good brand 
,It has wonderful products with high technology,Because of its modernisation,
,Godrej is very trusted company ,Godrej is very trusted company ,
,Because they are a big brand and experts in lockers and safe,Because they are a big and reliable name in furniture ,
,,"Godrej has variety of furniture and appliances, but when compared to other brands it's limited","Godrej is expert , especially in security solutions , provides excellent products"
,,,
,Because overall all good future available and also wide segment.,,Because good quality of product and also good future.
,i think gift is the no.1 brabd innlocksxabdxsecurity solution,,"video is the number one security lock, abd also i am using this brand for many years, and i am totally satisfied with the performence"
,Godrej is one of the top brand of lock. Because it's easier to access the whole area. Mainly it's special amd master lock.,Godrej is one of the best product for home furniture. Because it's easier to access the whole area. It's best and top brand.,
,,,
,,Good quality but costly ,Affordable price 
,It maintains good and standard quality products ,I'm not satisfied with home furniture and kitchen products of godrej,
,I like this brand very much and it is trustworthy to use for a long time inmy home ,I like this brand very much and i think it is one of the best in the market ,
,It's good for many people ,It's good for many people ,
,,,
,,,
,,Because I have already used it and I felt like the performance of it made me give the above score,Godrej always gives the best when it comes to safety and iam saying because iam already using it from past many years
,it is an excellent brand. there is no question regarding its quality. it is a well built brand,it is a wonderful brand assuring best in class service and quality,
,,Brand recognition and product quality,Brand trust and safety quality
,,"Godrej is overall good brand, they don't have enought products in Kitchen storage and Furniture ",They built quality products and they wide variety of products in security solutions 
,,"Because their making of product is very good and their after sales service are also good, they have wide varieties ",
,A reputed brand with years of experience in security solutions ,,
,Operating time ,Durability ,
,"Trusted brand, reputed",,"High price, rigidity in using"
,Good quality material ,,
,Yeah they are safe and of high standard ,,
,1000,,
,,,
,Efficiency ,,
,Brand trust quality good,,
,5,,
,its has rich heritage and one of the top brands,,
,6,,
,It is old trustworthy company .it is known for its durability.its high quality products are known to everyone.,,
,It's best i know ,,
,Very bad working condition ,,
,it has durable and cost effective locks that give me a sense of security.,,
,It is very popular and trusted brand,Well know and stays new so many years,
,,I like the quality,I love the quality
,Because it has good quality and provide much more safety,,It has good quality and provides more security
I don't know much information about the brand and I didn't see any ads about it.,,,
,,,
Very good,,,I like it 
Because of loyalty ,Because of attractive products ,,
,,Very nice furniture,Very nice lock
good product at reasonable price and good reviews,,,good product at less price
very nice to items,,very nice,
,,,
,,,
85,,,
,Good quality ,Good quality ,
As per the user experience ,,As per the user experience ,
Godrej is trusted brand,,,It’s trusted brand and easy to use
,,Quality is ok and gives discounts ,It is good quality products 
Its good,,,Its fine and less features
10,,10,
Godrej customer service is not up to mark,,Godrej Almirah does not have same space for cloth as custom made in less price,
,,,8
,,Because it is very good quality of products and design are available ,Because they gives comfortable to the customer aspect 
very good standard design,,,good quality 
Not familiar,Good quality,,
I like godrej products and I have been using it since long without any problem ,,,It's products are trustworthy and have Been delivering good performance 
,,,good brand
This is the first time to get along with and I will definitely be there for the interview and yy and help you out and I want be able and willing to do this for you.,,Thus is the first day of mine is very good and very good at what you do for the busy time for me when we are all set maan v,
Because we already have been using thus brand,,Because we have been using this brand,
Heard that it is good brand,,I am using this brand and it is good,
,,"Godrej is a well known brand in India since many years who are makers of Office furniture, lockers, I ron safes etc.. but I'm not sure Whether kitchen furniture is to the expectations or not.",Because Godrej is a most relable and trusted brand since many many years. And they are up to expectations when it comes to security.
It's a quiet meal at home and,,It's a quiet meal at home with my kids,
,Good quality product at reasonable rate.,GOOD QUALITY PRODUCT AT BEST PRICE,
,Trustworthy and known for long time and brand value ,Some products are not up to the mark in godrej.it is known for few selected things..i think so,
Need more pramotion then computaters. And new technology and options and increase showrooms and services ,,Need more advertising and more options and increase showrooms and services ,
,,,
Am not that much familiar bwith this brand butvhave heard a lot about this brand,,,
,,Because of their furniture are very strong and long lasting.,Because they give great security.
Just heard about it so,,Just heard about it and not used much so..,
,,Godrej is number one brand in India which is very old brand and can trust easily ,Because they are the top priority in home security 
,,,
Very quality,,Good,
,It is a brand that we use for generations and never it once faulted,,I have not used it much but have seen in hotel stays.
Coustomer service ,Strong ,,
It's very good ,,It's very good and sweet ,
,its everlasting brand,,its everlasting brand and comfortable using and its easy
Good product,,,Godrej
It has ni e quality,,Quality and quantity are good of this product,
The brand is good but it has to upgrade according to the present needs,,,I have used only one time and i didn't get the expected result 
"ITS GOOD BUT COMPARED TO SAMSUNG,I LIKE A BIT MORE SAMSUNG",,,its a very good brands
,For good quality product and style ,,
,8,,9.5/10
Service are good and the product are very useful,The product s are excellent and is very unique brand,,
Good quality,Good quality,,
,,,100
Good quality products ,Good quality products ,,
,It is perfectly working well in all for the last 15 years without any minor problems,,Excellent security for lockers for the last 10 years
,,,
,,it is good,
One of the best products I have used,,"Godrej is the best products brand company
I believe that company
",
It's a good brand I trust,,It's a good brand. We can trust this brand,
,The biggest technology resort Blog recital of ved Yadav the biggest technology resort ,,The biggest technology is Google Microsoft Oracle 
,,,
,,,
,,Beacuse it's a very wonderful company which full fill my wishes and most people like it very much I like it very much.,Beacuse it's very wonderful and very useful to me and the people who purchased from godrej and also it's very wonderful product I like it very much. 
I like that brand little bit exceptional ,I like that brand products ,,
,,,Nothing much more to explain 
,,Godrej is very Big brand and i always show the add on tv and others platform and my experiences is very good for godrej,Because godrej is very known brand and i see almost every time add on tv and others platform 
,Good locking system,,
Godrej is a brand we know... It Goods are trusted as well as worthful to buy... ,,Godrej is affordable for purchasing the furniture as well all variety of furniture is available... ,
Durable brand ,,Good brand ,
,,,
Trusted secure brand ,,,Trusted secure brand user experience 
It working good and contain the same brand,,Good and easy to use good brand,
Better ,,,Better 
Its a reputed brand ,,Its a reputed brand ,
It is very good customer support,,,It is very good security lockers and it is very cost efficiency.
,,Durable and realibility,Trustable and comfortable
I am satisfied ,,I am satisfied ,
Good products but still more should come with innvoation,,Still lot of products should come with innovation,
,We have been using godrej since childhood. I am so satisfied with the products.,,Good reputation and affordability.
,I like the features and brand.,,Brand.
,I am not happy with the service given by this company.  They took more days to service the product rather than they promised. ,,I am not happy with the after-sales service.
,Currently I am using godrej locks... Till now I didn't face any problem.... Hense i am happy with the service of brand godrej,,Godrej locks are well known for their reputation.... The reviews of other customer are positive
,Locks of godrej are strong so far and have long life,Good quality and innovations to save space and great designs,
Godrej is a brand offers quality products. Their products are long lasting. ,,,Godrej locks are perfect. Godrej safe are very safe .
Because godrej brand applications are somewhat good to use.,,Godrej brand applications are somewhat good to use.,
,very good brand,very good products,
Godrej brand value gives me satisfaction the product will be good in quality because we been seeing this product in our household and it's servicing is really good. ,Godrej is a brand which i trust for safety of my house i have never had any complain on Godrej product.  ,,
Because it makes unique and good products,,Because it makes high quality products and a reasonable price ,
,,,Good securities solution provides 
It's reliable but not latest,,It's good brand ,
I own a refrigerator of Godrej . And I am very happy with that purchase it is a value for money product and a high quality product. ,Godrej locks is a budet friendly and good quality comparing with the others if we use this it is an advantage. ,,
Innovative ,,Popular brand ,
10,10,,
,It's a trustworthy company which we have been using for years. Good products from this brand and very reliable.,Trustworthy brand. Very reliable and good products. Amazing customer service.,
servicing facility not available ,,Poor servicing ,
,,,it is very storng and good looking 
,,,
,Godrej is very old trusted  security product brand of India.,Godrej is one of the best furniture brand that manufactured sturdy furniture.,
,Quality is good,,
Because right now the other brands offering more quelity and high tech products compair to godrej. I feel godrej is way back from other brands.,"I don't see any thing new in there brand products, I want them to inclined more high tech and software base lock products ",,
It is a Indian company and very old company which I trust a lot,,Have not heard much about this brand in furniture and home appliances category ,
One of the beat company,,Best sellers,
it is been in india for long time as like 20 years and counting it know what indian customer want ,,,it is been for years and they know what indian customers want
,,It's a reputed brand,
,"Combining the most modern safety technology, immense body strength and elegant aesthetics make Godrej lock best ",,"Godrej provide cutting edge solution that safeguard not only millions of homes and offices, but also protect prestigious institutions"
It is very strong and old company if India has very good durable products ,,,It has very durable and long lasting products 
BECAUSE IT IS TRUSTED AND OLD BRAND,,IT IS TRUSTED BRAND,
"Trusted  brand ,I like very much ",,,I like very much  and trusted brand
,"Because i am using this brand, and i am satisfied with it.",Because i use this brand,
,,Extremely good quality and safety ,Excellent quality at affordable prices 
,,not have a good customer service,it is compact secure and affordable 
Godrej is a trusted brand. It is one of many brands I would consider Purchasing.,,It`s a trusted brand with good built quality and last long,
Heard a lot about it.,,Heard a lot about this.,
They are well  reputed company and their products have high quality also good designed ,,,They provide quality products and they assured in garrenty 
,It is very good brand,,This is amazing work in safe
,,Its just good,Its good
,,"It is a trusted, renowned company with excellent, modern designs and is known for consistency in quality and service",
Godrej brand is good but not in trending.,No 1 brand for locks,,
,Gochrej is the most reveal brand of india,The leading company of India and excellent brand ,
It is a well known established brand with quality products and customer satisfaction ,,Because I am very likely to recommend ,
I like it,i USE IT. I LIKE IT.,,
"Godrej brand Refrigerator i have been using from last 6 years, no issues with it",,,Quality products with durability 
,10,,10
,This best Lock's provide company i love this,Godrej is the best company,
"Good quality products, prices reliable",,,Good quality products
,Strong and durable ,,Smart and easy to use 
It's good,,Iys different from other brands,
its very amazing product .and guarandeed.,godrj is very quality products available complany. very trusted.,,
,,,
,,It is a good brand and personally I haven't purchased any large furniture so I am nt much awre,"for locks  , godrej brand is best . we are using it from very long time and they ar great"
It is innovative useful and helpful ,It is innovative useful and helpful ,,
because my friends are using they said to me godrej compared to LG/SAMSUNG some performance is low in godrej,,,Actually honeywell are using in my brother company for main door locks sometimes they are facing some problems but Godrej are the best in locks
Not applicable ,,,Very durable 
,,Quality is very good. ,Good quality 
It's one of the reputed brand and gives really good service,One of the old brand and my family members recommend this,,
Not much prominent in the appliance industry,,,
,,Because this is a old and valuable brand,
Very credible brand having goodwill for quality of products and durability of the same with reasonable price ,,,I have been using this brand for last 10 years and I have very nice experience in all aspects of products 
Godrej has been one of the best brands earlier but now it has lost some credibility.,,Godrej provides good quality appliances.,
Easy to use,,Easy to use ,
,,,"good quality, reasonable price, products goodwill"
,be installed for easy access. Durability and reliability,,Godrej lock is very good and very likely
because it is one of best brand,,,
,,7,
Reputed Brand!,,,Reputed Brand!
,,It is well known brand and trustworthy brand ,Unique brand 
,People with good credit scores can negotiate better interest rate,,"Overall good company, will find friendly environment to work"
I don't experience more of this brand .,,I used godrej furniture and it's good,
Because it is an average product ,,,
The quality of their products simply isn't upto the mark as compared to their peers ,The locks are good and also the prices are competitive too ,,
,10,,10
,"I like the safety of the lock and it is more secure, worth for price and easy to use",Bec it has very good product with more durability and have many options ,
,,Best and strong one,Strong and genuine 
,,,
It is good but not great,,Good product,
Godrej is one of the best manufacturer of technological products,,,Godrej is one of the best in the market and come up with products that are well suited for everyone 
,,,
,best quality,best,
Comfortable for use,,Comfort ,
I have this brand.,I currently using this brand.,,
Because godrej is a quality brand and it give good service,,Because godrej is a good brand,
,,I like very much,
,it provide very high security with many combination,,it provide very high security with many combination
,It's amazing and terrific ,,Ita amazing 
