StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Appliances_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
06-10-2022 09:53,06-10-2022 09:58,R_1LZg0kivfVrqMXc,7.0,Good quality products at affordable prices ,0.0072471299,0.1212098002,0.8715429902,Promoter,Bangalore,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
06-10-2022 09:44,06-10-2022 09:58,R_xABvtatO41BJ7DH,,,0.2395022064,0.5281888843,0.0,,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,
06-10-2022 09:52,06-10-2022 09:58,R_24I9UoP5aaNJXIH,,,0.2395022064,0.5281888843,0.0,,Chennai,41-45,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Married, with kid(s)",16-20 years old,
06-10-2022 09:50,06-10-2022 09:58,R_3si9T6UZY9lItp2,,,0.2395022064,0.5281888843,0.0,,Hyderabad,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Service (Rural or Urban),30-35 Lacs,"Single (includes divorced/ widowed), no kids ",,
06-10-2022 09:49,06-10-2022 09:58,R_W24QOlAQ8ymPS8N,,,0.2395022064,0.5281888843,0.0,,New Delhi NCR,18-21,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Personal computer/ Laptop",Student,,"Single (includes divorced/ widowed), no kids ",,
06-10-2022 09:48,06-10-2022 09:59,R_1Kx3LcuJpsmTOFd,9.0,Made in India and a lot of fault easy to solve,0.2396742553,0.5235273838,0.2367982864,passive,Chennai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
06-10-2022 09:46,06-10-2022 09:59,R_3fZbX4lBR27FH0l,,,0.2395022064,0.5281888843,0.0,,Mumbai,36-40,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Shop or Store Owner,10-15 Lacs,"Married, no kids ",,
06-10-2022 09:11,06-10-2022 09:59,R_1lz2RX4UePlQyFz,,,0.2395022064,0.5281888843,0.0,,Hyderabad,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,Above 35 Lacs,"Married, no kids ",,
06-10-2022 09:49,06-10-2022 09:59,R_Y4RpHHzMhtkxPk5,9.0,I don't know using this brand iam heard I will give 5 stars,0.1091180593,0.6227430701,0.2681387663,passive,Hyderabad,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
06-10-2022 09:54,06-10-2022 10:00,R_2uIK6igNfKzxhZX,,,0.2395022064,0.5281888843,0.0,,Mumbai,18-21,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Student,,"Single (includes divorced/ widowed), no kids ",,
