Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive,Appliances_label,Locks_label,Interio_label,Security_label
591,06-10-22 23:53,07-10-22 0:18,R_DTYSpg0pLDZev9n,6,Some items of this company is not satisfied me,,,10,Its furniture is High quality and good looking,,,Pune,46-50,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Retired/ unemployed,,"Married, with kid(s)","16-20 years old,Above 20 years old",,0.97667402,0.021120418,0.002205597,0,0.528188825,0,0.002674017,0.051445711,0.945880234,0,0.528188825,0,Negative,,Positive,
592,07-10-22 0:53,07-10-22 1:10,R_3j7izdv5q7LUfzx,10,Good working I like it,,,10,I like very much ,,,Hyderabad,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,,0.003506744,0.03125057,0.965242744,0,0.528188825,0,0.004589356,0.057535511,0.937875092,0,0.528188825,0,Positive,,Positive,
593,07-10-22 2:10,07-10-22 2:46,R_BKVjYc3qXBSinSx,8,Prices are high for their furniture. Earlier we I used Refrigerator it is exellent. Presentrly there are several brands and not many products from godrej. ,10,They are good at locks. Furniture is costly. Fridge was exxecent earlier.,,,,,Hyderabad,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Other occupations,Below 5 Lacs,"Married, no kids ",,,0.101533562,0.626338065,0.272128433,0.115840748,0.392283976,0.491875261,0,0.528188825,0,0,0.528188825,0,Neutral,Neutral,,
594,07-10-22 4:55,07-10-22 5:13,R_25Hm4tDCZ02Qigl,,,9,its great to use,,,,,Mumbai,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Single (includes divorced/ widowed), no kids ",,,0,0.528188825,0,0.003904604,0.040184036,0.955911398,0,0.528188825,0,0,0.528188825,0,,Positive,,
595,07-10-22 5:28,07-10-22 5:40,R_OQnBsvnTAF07XLb,6,Feeling outdated ,,,,,,,Kolkata,46-50,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",10-15 years old,,0.628169596,0.337890685,0.033939727,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Negative,,,
596,07-10-22 5:21,07-10-22 5:55,R_yECf6k57CBwrUpb,8,Godrej is a good brand. I know this from my childhood,10,I know this from my childhood,,,,,Chennai,46-50,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Above 20 years old,,0.003152442,0.062058926,0.934788644,0.157446683,0.71672076,0.125832513,0,0.528188825,0,0,0.528188825,0,Positive,Neutral,,
597,07-10-22 5:41,07-10-22 5:56,R_2wMpC61dP6Bzi1H,,,10,Their quality is excellent ,10,Their products are really good and durable ,,,Chennai,46-50,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",16-20 years old,,0,0.528188825,0,0.00440787,0.051088803,0.944503307,0.002327805,0.024733333,0.972938895,0,0.528188825,0,,Positive,Positive,
598,07-10-22 6:19,07-10-22 6:30,R_2YPc8VgRWLhuUzh,4,Godrej is no more a popular brand,,,,,,,Mumbai,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Unemployed,,"Single (includes divorced/ widowed), no kids ",,,0.519091904,0.439255983,0.041652154,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Neutral,,,
599,07-10-22 6:31,07-10-22 6:52,R_27dLKYnhOgAFGxd,,,,,,,10,It is very superor and trusted brand,Chennai,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",10-15 years old,,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,0.004056587,0.101878583,0.894064844,,,,Positive
600,07-10-22 6:53,07-10-22 7:04,R_11gVLQ4k5prafjz,10,Having,,,,,,,Ahmedabad,36-40,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, with kid(s)",Below 10 years old,,0.205593944,0.53793031,0.256475747,0,0.528188825,0,0,0.528188825,0,0,0.528188825,0,Neutral,,,
