Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,score,text,score1,text.1,score2,text.2,score3,text.3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,text_Negative,text_Neutral,text_Positive,text.1_Negative,text.1_Neutral,text.1_Positive,text.2_Negative,text.2_Neutral,text.2_Positive,text.3_Negative,text.3_Neutral,text.3_Positive,label,label1,label2,label3
1541.0,13-10-22 23:50,13-10-22 23:57,R_1C2NtCVQeJVjWE9,,,,,,,,100,Bangalore,26-30,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,Executive-Junior/ Supervisory,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1542.0,13-10-22 23:48,13-10-22 23:58,R_3OrFbC0ZqUI0l8i,9.0,Good quality products ,9.0,Good quality products ,9.0,,9.0,,Pune,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,30-35 Lacs,"Married, with kid(s)",Below 10 years old,,Business owner or Industrialist with 50 or more employees,0.012039565,0.160458848,0.827501595,0.012039565,0.160458848,0.827501595,0.012039565,0.160458848,0.827501595,0.012039565,0.160458848,0.827501595,Promoter,Promoter,Promoter,Promoter
1543.0,13-10-22 23:47,13-10-22 23:58,R_3hlrrQxDWMCDnt8,,,,It is perfectly working well in all for the last 15 years without any minor problems,,,,Excellent security for lockers for the last 10 years,Bangalore,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",10-15 years old,,Executive-Middle/ Senior management,0.239502162,0.528188825,0.232308999,0.007805484,0.078261316,0.913933218,0.007805484,0.078261316,0.913933218,0.007805484,0.078261316,0.913933218,  ,  ,  ,  
1544.0,13-10-22 23:43,13-10-22 23:58,R_Uud1xjBaPNoTawN,,,,,,,,,Bangalore,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Other occupations,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,Other occupations,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1545.0,13-10-22 23:49,13-10-22 23:58,R_XvxouNacWxN4La9,,,,,,it is good,,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Middle/ Senior management,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1546.0,13-10-22 23:43,13-10-22 23:59,R_Y9pIfVRWtpmV237,,One of the best products I have used,,,,"Godrej is the best products brand company
I believe that company
",,,Hyderabad,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",10-15 years old,,Executive-Middle/ Senior management,0.001962921,0.020371126,0.97766602,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1547.0,13-10-22 23:39,13-10-22 23:59,R_2sSwl2LZII6IBOA,,It's a good brand I trust,,,,It's a good brand. We can trust this brand,,,Kochi,22-25,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,"Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",0.00240891,0.058472522,0.939118564,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1548.0,13-10-22 23:49,13-10-22 23:59,R_UrLSCBRThhFUkA9,,,,The biggest technology resort Blog recital of ved Yadav the biggest technology resort ,,,,The biggest technology is Google Microsoft Oracle ,Bangalore,36-40,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",20-25 Lacs,"Married, with kid(s)",10-15 years old,,"Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",0.239502162,0.528188825,0.232308999,0.005779733,0.260051608,0.734168649,0.005779733,0.260051608,0.734168649,0.005779733,0.260051608,0.734168649,  ,  ,  ,  
1549.0,13-10-22 23:50,13-10-22 23:59,R_22End4wrGLV22BK,,,,,,,,,Hyderabad,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,Executive-Junior/ Supervisory,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1550.0,13-10-22 23:52,13-10-22 23:59,R_Z9pDRCTzoLmY35v,,,,,,,,,Kochi,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Shop or Store Owner,5-10 Lacs,"Married, with kid(s)",Below 10 years old,,Shop or Store Owner,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1551.0,13-10-22 23:44,13-10-22 23:59,R_30qOgg11lFk7uPw,,,,,,Beacuse it's a very wonderful company which full fill my wishes and most people like it very much I like it very much.,,Beacuse it's very wonderful and very useful to me and the people who purchased from godrej and also it's very wonderful product I like it very much. ,Bangalore,46-50,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",16-20 years old,,Executive-Middle/ Senior management,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1552.0,13-10-22 23:41,14-10-22 0:00,R_2CjG0SApvrmiZOB,9.0,I like that brand little bit exceptional ,9.0,I like that brand products ,9.0,,9.0,,Bangalore,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Middle/ Senior management,0.006330646,0.09175963,0.901909709,0.005679317,0.081160732,0.913159966,0.005679317,0.081160732,0.913159966,0.005679317,0.081160732,0.913159966,Promoter,Promoter,Promoter,Promoter
1553.0,13-10-22 23:42,14-10-22 0:01,R_UGA0siBeTwVLfuF,,,,,,,,Nothing much more to explain ,Kochi,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Personal computer/ Laptop,Car/ Jeep/ Van",Shop or Store Owner,10-15 Lacs,"Married, with kid(s)",10-15 years old,,Shop or Store Owner,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
1554.0,13-10-22 23:35,14-10-22 0:01,R_1nYK7V7KKDgOcqD,,,,,,Godrej is very Big brand and i always show the add on tv and others platform and my experiences is very good for godrej,,Because godrej is very known brand and i see almost every time add on tv and others platform ,Ahmedabad,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Married, with kid(s)",10-15 years old,,Executive-Middle/ Senior management,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,0.239502162,0.528188825,0.232308999,  ,  ,  ,  
