StartDate,EndDate,ResponseId,Appliances-Score,Locks-Score,Locks-Text,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Locks_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
13-10-2022 21:22,13-10-2022 21:30,R_1myfrZEjBslvmkt,,,,0.2395022064,0.5281888843,0.0,,Hyderabad,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Above 35 Lacs,"Married, no kids ",,
13-10-2022 21:43,13-10-2022 21:53,R_24kq2ZNylrfl6vP,,9.0,Because it has good quality and provide much more safety,0.0048457151,0.0745952278,0.920558989,Promoter,Mumbai,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 21:42,13-10-2022 21:57,R_2tJziWGESF1V9fR,4.0,,,0.2395022064,0.5281888843,0.0,,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Below 5 Lacs,"Married, with kid(s)",16-20 years old,
13-10-2022 23:26,13-10-2022 23:34,R_1Nkul5vRPTiEzS5,,,,0.2395022064,0.5281888843,0.0,,Kochi,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:21,13-10-2022 23:34,R_3rVADtgS87mVAra,7.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,30-35 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:28,13-10-2022 23:35,R_24IgjDiNs99f08G,8.0,9.0,Because of attractive products ,0.0110801002,0.1977148354,0.7912050486,Promoter,Bangalore,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:24,13-10-2022 23:36,R_31GGTgMSH2PBqR6,,,,0.2395022064,0.5281888843,0.0,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",10-15 years old,
13-10-2022 23:29,13-10-2022 23:36,R_VKDcHbmapdFxNvj,10.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",10-15 years old,
13-10-2022 23:28,13-10-2022 23:36,R_1I5epMZ9vZXyAtv,10.0,,,0.2395022064,0.5281888843,0.0,,Hyderabad,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",5-10 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:29,13-10-2022 23:37,R_1ONtwEyrxUzu1M7,,,,0.2395022064,0.5281888843,0.0,,Hyderabad,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Student,,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:34,13-10-2022 23:38,R_29cx9cqplazhg9t,10.0,,,0.2395022064,0.5281888843,0.0,,Pune,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:28,13-10-2022 23:38,R_bdTjMxfrOopB8ch,9.0,,,0.2395022064,0.5281888843,0.0,,Kochi,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,
