Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Appliances_label,Locks-Score,Locks-Text,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Locks_label,Interio-Score,Interio-Text,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Interio_label,Security-Score,Security-Text,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive,Security_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
32,05-10-2022 09:32,05-10-2022 09:39,R_eKzlhFr6jBxTZNT,6.0,this is what I heard about it,0.097054109,0.8383054137,0.0646404922,passive,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,Chennai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",Below 10 years old,
33,05-10-2022 09:31,05-10-2022 09:40,R_C8D2Ke28FPD1NPr,,,0.2395022064,0.5281888843,0.0,,9.0,Because i like that very much due to its best durability and toughness,0.0017493881,0.0321461745,0.9661045671,Promoter,10.0,Because they provide very modern and good looking furniture,0.0035834278,0.0567703024,0.9396463037,Promoter,,,0.2395022064,0.5281888843,0.0,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)","16-20 years old,Above 20 years old",
34,05-10-2022 09:32,05-10-2022 09:40,R_2zJ7SNuKjeRFK4s,,,0.2395022064,0.5281888843,0.0,,10.0,Because it is a very good brand and trustworthy ,0.0029607113,0.0526547991,0.9443844557,Promoter,10.0,Because it is a very good brand and trustworthy ,0.0029607113,0.0526547991,0.9443844557,Promoter,,,0.2395022064,0.5281888843,0.0,,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, with kid(s)",Below 10 years old,
35,05-10-2022 09:32,05-10-2022 09:40,R_21ySbou1hkdVwk3,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,10.0,This is very trusted brand,0.0052336296,0.1902023554,0.8045640588,Promoter,,,0.2395022064,0.5281888843,0.0,,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
36,05-10-2022 09:33,05-10-2022 09:41,R_2wMh9tdKEVzyXQe,7.0,Service & availability is poor.,0.9186305404,0.0749143586,0.0064552655,Detractor,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,Chennai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
37,05-10-2022 09:32,05-10-2022 09:41,R_2y967cTpzK05OJo,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,10.0,Because I use Godrej ,0.0603015572,0.7795830369,0.1601154208,passive,10.0,Because I like it as I use it.,0.0218339358,0.3069424033,0.6712237,passive,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
38,05-10-2022 09:34,05-10-2022 09:41,R_3D6X9lEkAeLDWt7,8.0,It is best quality products ,0.0115446672,0.137400344,0.8510550261,Promoter,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,10.0,This is best quality product,0.0038991969,0.0323746279,0.9637262225,Promoter,Lucknow,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
39,05-10-2022 09:33,05-10-2022 09:42,R_1C1qWJZuyFZIS7E,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,8.0,Because itâ€™s so nice ,0.0032070449,0.0275936816,0.9691991806,Promoter,,,0.2395022064,0.5281888843,0.0,,Bangalore,26-30,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, no kids ",,
40,05-10-2022 09:31,05-10-2022 09:42,R_YSyboQYA5ea92zD,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,9.0,Godrej is having good range of furnitures but little overpriced,0.0280291531,0.2221668363,0.7498040795,Promoter,10.0,It has wonderful and effective security locks,0.0060007749,0.0744930506,0.9195061326,Promoter,Pune,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",Below 10 years old,
41,05-10-2022 09:32,05-10-2022 09:43,R_2xFySDi2jyVdlTQ,2.0,"Because it is bad
",0.9087894559,0.0845957473,0.006614672,Detractor,,,0.2395022064,0.5281888843,0.0,,,,0.2395022064,0.5281888843,0.0,,10.0,Because its build quality is too good. ,0.5768271089,0.3150036335,0.1081692204,passive,Kolkata,18-21,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Not working,,"Single (includes divorced/ widowed), no kids ",,
