StartDate,EndDate,ResponseId,Appliances-Score,Interio-Score,Interio-Text,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Interio_label,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
13-10-2022 23:56,14-10-2022 00:06,R_ufAmdeKiDen85Gh,10.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,26-30,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:44,14-10-2022 00:06,R_0AMwaIJlzCrXYtP,7.0,6.0,Godrej brand applications are somewhat good to use.,0.0030562738,0.06573084,0.9312129021,Promoter,Ahmedabad,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",25-30 Lacs,"Single (includes divorced/ widowed), no kids ",,
14-10-2022 00:01,14-10-2022 00:07,R_1HbNLWL75q2t8vM,,9.0,very good products,0.0061822506,0.0599844158,0.9338332415,Promoter,Bangalore,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:44,14-10-2022 00:07,R_26hkRyiTcLJBwzm,9.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:57,14-10-2022 00:07,R_2c7A72UAX3A67cu,9.0,10.0,Because it makes high quality products and a reasonable price ,0.0075004715,0.138985604,0.8535139561,Promoter,Pune,18-21,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,Above 35 Lacs,"Single (includes divorced/ widowed), no kids ",,
14-10-2022 00:01,14-10-2022 00:07,R_33CNMbKiSGLmONq,,,,0.2395022064,0.5281888843,0.0,,Hyderabad,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:56,14-10-2022 00:07,R_bDFUYhcVHfpAFkR,5.0,10.0,It's good brand ,0.0078906156,0.1383234262,0.8537858725,Promoter,Hyderabad,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",
13-10-2022 23:50,14-10-2022 00:08,R_1NqYRWv6S9m8Uvr,9.0,,,0.2395022064,0.5281888843,0.0,,Kochi,22-25,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Student,,"Single (includes divorced/ widowed), no kids ",,
13-10-2022 23:57,14-10-2022 00:08,R_1gGPxevxqDy8Z4X,8.0,9.0,Popular brand ,0.142156437,0.7511072159,0.106736362,passive,Bangalore,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,15-20 Lacs,"Married, with kid(s)",Below 10 years old,
13-10-2022 23:43,14-10-2022 00:08,R_1hLUCo3VQ5pMLBW,10.0,,,0.2395022064,0.5281888843,0.0,,Bangalore,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Junior/ Supervisory,20-25 Lacs,"Married, with kid(s)",Below 10 years old,
