0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,score,text,text_Negative,text_Neutral,text_Positive,label,score1,text.1,text.1_Negative,text.1_Neutral,text.1_Positive,label1,score2,text.2,text.2_Negative,text.2_Neutral,text.2_Positive,label2,score3,text.3,text.3_Negative,text.3_Neutral,text.3_Positive,label3,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
18,26-09-22 15:08,26-09-22 15:14,R_33fpczos0TZzrmQ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,Mumbai,22-25,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,10-15 Lacs,"Married, no kids ",,,Business owner or Industrialist with 50 or more employees
19,03-10-22 22:16,03-10-22 22:27,R_2tL3R0MEkzfSJZU,9.0,jdjjdjdjjd,0.228492916,0.675900102,0.09560696,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,9.0,,0.239502162,0.528188825,0.232308999,Revised Detractor,New Delhi NCR,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Married, no kids ",,,Business owner or Industrialist with 1-49 employees
20,05-10-22 1:58,05-10-22 2:00,R_3HFV5exoRYXgLNx,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,Bangalore,36-40,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,10-15 Lacs,"Married, no kids ",,,Business owner or Industrialist with 1-49 employees
21,05-10-22 2:03,05-10-22 2:05,R_3PbmYc7XmZPhi9s,9.0,daw,0.266465783,0.510693252,0.222841009,Revised Detractor,9.0,dwa,0.225652605,0.555016041,0.219331354,Revised Detractor,9.0,,0.225652605,0.555016041,0.219331354,Revised Detractor,9.0,,0.225652605,0.555016041,0.219331354,Revised Detractor,Hyderabad,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,15-20 Lacs,"Married, no kids ",,,Business owner or Industrialist with 1-49 employees
22,05-10-22 9:31,05-10-22 9:37,R_2eQkOyRo0UoDId9,6.0,Nothing,0.302276671,0.567609429,0.1301139,Detractor,6.0,,0.239502162,0.528188825,0.232308999,Detractor,6.0,,0.239502162,0.528188825,0.232308999,Detractor,6.0,Good service,0.239502162,0.528188825,0.232308999,Detractor,Bangalore,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,Executive-Middle/ Senior management
23,05-10-22 9:31,05-10-22 9:37,R_XiB60afpDckbZst,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,"I like their product quality, always feel very strong and durable at a reasonable price
",0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,Kochi,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Junior/ Supervisory,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Junior/ Supervisory
24,05-10-22 9:32,05-10-22 9:37,R_AcZfzh5W1NYIQxP,,,0.239502162,0.528188825,0.232308999,  ,,,0.239502162,0.528188825,0.232308999,  ,,Because it gives me good services,0.239502162,0.528188825,0.232308999,  ,,It have capacity,0.239502162,0.528188825,0.232308999,  ,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Above 35 Lacs,"Married, no kids ",,,"Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant"
25,05-10-22 9:32,05-10-22 9:38,R_2w4AKQp0pTKBDin,,,0.239502162,0.528188825,0.232308999,  ,,Its a trustable brand,0.008581739,0.240252212,0.751166046,  ,,,0.008581739,0.240252212,0.751166046,  ,,Very nice company,0.008581739,0.240252212,0.751166046,  ,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,,Executive-Junior/ Supervisory
26,05-10-22 9:32,05-10-22 9:38,R_2tgGZaeZcZrNLhI,8.0,good product,0.011239871,0.101536274,0.88722384,Promoter,8.0,,0.239502162,0.528188825,0.232308999,Detractor,8.0,good product,0.239502162,0.528188825,0.232308999,Detractor,8.0,,0.239502162,0.528188825,0.232308999,Detractor,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner",Executive-Middle/ Senior management,5-10 Lacs,"Married, no kids ",,,Executive-Middle/ Senior management
27,05-10-22 9:34,05-10-22 9:39,R_3HTTYnSTBMbZw0U,7.0,because of its durability,0.064947769,0.70468688,0.230365291,Detractor,7.0,,0.239502162,0.528188825,0.232308999,Detractor,7.0,,0.239502162,0.528188825,0.232308999,Detractor,7.0,,0.239502162,0.528188825,0.232308999,Detractor,Chennai,22-25,Female,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Refrigerator,Washing machine,Personal computer/ Laptop",Unemployed,,"Single (includes divorced/ widowed), no kids ",,,Unemployed
