Unnamed: 0,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume,Appliances-Text_Negative,Appliances-Text_Neutral,Appliances-Text_Positive,Locks-Text_Negative,Locks-Text_Neutral,Locks-Text_Positive,Interio-Text_Negative,Interio-Text_Neutral,Interio-Text_Positive,Security-Text_Negative,Security-Text_Neutral,Security-Text_Positive
1080,09-10-2022 20:35,09-10-2022 20:42,R_87kEbtKMYWwM78R,,,10.0,Good morning and I hope you are doing well in your class today so we can make a decision about how ,,,10.0,Good to know I am still in a good way and thanks again and have a good way to know I am in a meeting and thanks again and have a good ,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Shop or Store Owner,10-15 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.0024671347,0.0703020468,0.9272308946,0.0,0.0,0.0,0.0015472372,0.0171009023,0.9813517332
1081,09-10-2022 20:31,09-10-2022 20:42,R_3NJLKVSs1Fhu9QH,,,,,10.0,"It gives good furniture
",9.0,Good,Chennai,18-21,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 1-49 employees,25-30 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.0,0.0,0.0,0.0214737952,0.2657581866,0.7127680779,0.0607934818,0.3294279575,0.609778583
1082,09-10-2022 20:27,09-10-2022 20:42,R_3KVFZg35BJ8iA82,,,,,10.0,It's must,10.0,It's obvious,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Single (includes divorced/ widowed), no kids ",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0644827038,0.5493597388,0.3861576319,0.1551160663,0.606369555,0.2385143489
1083,09-10-2022 20:30,09-10-2022 20:42,R_AoYhHUpRmhRBoxr,,,9.0,Good to hear that you are ,9.0,Good Good I am writing this email ,,,Lucknow,41-45,Female,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Above 20 years old,,0.0,0.0,0.0,0.003095903,0.0441006422,0.9528033137,0.0120940646,0.1826069355,0.8052990437,0.0,0.0,0.0
1084,09-10-2022 20:38,09-10-2022 20:42,R_3EXOeV1OvicHL6M,,,9.0,It had great quality products ,,,9.0,It has a great quality locks,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,,0.0,0.0,0.0,0.0053397198,0.0586324595,0.9360277653,0.0,0.0,0.0,0.0038266396,0.0438703708,0.9523029923
1085,09-10-2022 20:38,09-10-2022 20:42,R_12LLughm7tBW38v,,,,,9.0,Godrej is good and premium quality brand ,10.0,Because godrej provide us premium quality for any products ,Mumbai,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",10-15 years old,,0.0,0.0,0.0,0.0,0.0,0.0,0.0044290763,0.0933429152,0.902228117,0.0073285578,0.1996040344,0.7930674553
1086,09-10-2022 20:29,09-10-2022 20:43,R_2v0318qGtrGkn5E,,,9.0,More sleek design with pro-safety features along with super-sensitive touch feature,,,9.0,wide range options with quiet innovative products. We can trust on this brand,Mumbai,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,0.0,0.0,0.0,0.0034672783,0.1490196735,0.8475129604,0.0,0.0,0.0,0.0017170102,0.067984201,0.9302988052
1087,09-10-2022 20:37,09-10-2022 20:43,R_3qVyCRzdkpwklCp,,,10.0,It is very strong,,,10.0,They are very secure,Mumbai,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,30-35 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",,0.0,0.0,0.0,0.0094477627,0.2013079822,0.7892442942,0.0,0.0,0.0,0.0088034496,0.2100062519,0.7811903358
1088,09-10-2022 20:31,09-10-2022 20:43,R_UMZWUO6zFexQWtz,,,10.0,Good thing,,,7.0,Very bad one,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Above 35 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old,16-20 years old",,0.0,0.0,0.0,0.0142006166,0.1578098089,0.8279895186,0.0,0.0,0.0,0.9096675515,0.0825708807,0.0077614849
1089,09-10-2022 20:38,09-10-2022 20:43,R_1LcXekb7Xc8EE6I,,,,,9.0,Because I love it's durability and best in its price. ,,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Student,,"Single (includes divorced/ widowed), no kids ",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0044113654,0.039833691,0.9557549953,0.0,0.0,0.0
