,StartDate,EndDate,ResponseId,Appliances-Score,Appliances-Text,Locks-Score,Locks-Text,Interio-Score,Interio-Text,Security-Score,Security-Text,City,Age,Gender,Education,NCCS categorization,Occupation,Household Income,Marrital Status,Household Ages,Household Volume
28,05-10-22 9:35,05-10-22 9:39,R_6nHYAxHP7rLeGXL,,,,,,,,,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Business owner or Industrialist with 50 or more employees,5-10 Lacs,"Married, no kids ",,
29,05-10-22 9:32,05-10-22 9:39,R_pxZERepvuKv9wcN,9,It is a premium brand .,10,It is high quality brand ,,,,,Chennai,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
30,05-10-22 9:30,05-10-22 9:39,R_3JLBEXeJtOOjO4R,,,10,I trust the brand and it's very secure and safe,,,,,Kochi,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
31,05-10-22 9:32,05-10-22 9:39,R_2sXyma0CzxkLSkE,,,,,,,8,Godrej is the well known brand of security,New Delhi NCR,36-40,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Junior/ Supervisory,Below 5 Lacs,"Married, with kid(s)",10-15 years old,
32,05-10-22 9:32,05-10-22 9:39,R_eKzlhFr6jBxTZNT,6,this is what I heard about it,,,,,,,Chennai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,25-30 Lacs,"Married, with kid(s)",Below 10 years old,
33,05-10-22 9:31,05-10-22 9:40,R_C8D2Ke28FPD1NPr,,,9,Because i like that very much due to its best durability and toughness,10,Because they provide very modern and good looking furniture,,,New Delhi NCR,41-45,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)","16-20 years old,Above 20 years old",
34,05-10-22 9:32,05-10-22 9:40,R_2zJ7SNuKjeRFK4s,,,10,Because it is a very good brand and trustworthy ,10,Because it is a very good brand and trustworthy ,,,Mumbai,26-30,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",15-20 Lacs,"Married, with kid(s)",Below 10 years old,
35,05-10-22 9:32,05-10-22 9:40,R_21ySbou1hkdVwk3,,,,,10,This is very trusted brand,,,New Delhi NCR,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
36,05-10-22 9:33,05-10-22 9:41,R_2wMh9tdKEVzyXQe,7,Service & availability is poor.,,,,,,,Chennai,26-30,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Personal computer/ Laptop,Car/ Jeep/ Van",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
37,05-10-22 9:32,05-10-22 9:41,R_2y967cTpzK05OJo,,,,,10,Because I use Godrej ,10,Because I like it as I use it.,New Delhi NCR,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
38,05-10-22 9:34,05-10-22 9:41,R_3D6X9lEkAeLDWt7,8,It is best quality products ,,,,,10,This is best quality product,Lucknow,22-25,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Executive-Middle/ Senior management,5-10 Lacs,"Single (includes divorced/ widowed), no kids ",,
39,05-10-22 9:33,05-10-22 9:42,R_1C1qWJZuyFZIS7E,,,,,8,Because it’s so nice ,,,Bangalore,26-30,Male,SSC / HSC,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, no kids ",,
40,05-10-22 9:31,05-10-22 9:42,R_YSyboQYA5ea92zD,,,,,9,Godrej is having good range of furnitures but little overpriced,10,It has wonderful and effective security locks,Pune,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",10-15 Lacs,"Married, with kid(s)",Below 10 years old,
41,05-10-22 9:32,05-10-22 9:43,R_2xFySDi2jyVdlTQ,2,"Because it is bad
",,,,,10,Because its build quality is too good. ,Kolkata,18-21,Male,Some College (Incl Diploma) but not Grad ,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Not working,,"Single (includes divorced/ widowed), no kids ",,
42,05-10-22 9:33,05-10-22 9:43,R_2BgFh1b7CWiZuLY,,,,,9,"Because it is long durable, rang also reason able. ",,,Bangalore,36-40,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Junior/ Supervisory,15-20 Lacs,"Married, with kid(s)",10-15 years old,
43,05-10-22 9:35,05-10-22 9:43,R_O1L1w5QQKpHD7vb,9,Because it is a very good company and i like this compaany very much,,,,,,,Mumbai,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,
44,05-10-22 9:32,05-10-22 9:43,R_BRqsIB2w48C8f0B,,,,,,,,,Bangalore,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",5-10 Lacs,"Married, with kid(s)",Above 20 years old,
45,05-10-22 9:31,05-10-22 9:43,R_3PEIhaZeMrh5Acu,5,"because of it's after sales services, not having wide range of products",,,7,"doesn't have good design, very old fashioned, quality not good",,,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,20-25 Lacs,"Married, with kid(s)",Below 10 years old,
46,05-10-22 9:33,05-10-22 9:44,R_3iVyM8tcZBeKQGQ,9,,,,,,10,"The new version is a very good thing for a while, but I ",Ahmedabad,26-30,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,15-20 Lacs,"Married, with kid(s)",Below 10 years old,
47,05-10-22 9:35,05-10-22 9:44,R_1KeZOzIeUPtCU4M,7,Because I have used it's products and according to my experience I have rated it,,,,,8,Because I like its products and services ,Bangalore,22-25,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Government official,20-25 Lacs,"Single (includes divorced/ widowed), no kids ",,
48,05-10-22 9:39,05-10-22 9:45,R_Dr5wFb4G01yPvvr,9,I prefer other brands,,,,,,,Kochi,18-21,Female,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,10-15 Lacs,"Single (includes divorced/ widowed), no kids ",,
49,05-10-22 9:33,05-10-22 9:45,R_eEYym5J5vjzQDLj,8,"I heard from my friend, personally don't used.",,,9,I personally don't used ,,,Kolkata,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Personal computer/ Laptop",Other occupations,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
50,05-10-22 9:32,05-10-22 9:45,R_3lzfWHrUPk0wKO2,8,Their products are good but lack in finish look.,,,,,10,Godrej is No. 1 in Safe and Security Product.,New Delhi NCR,46-50,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van",Business owner or Industrialist with 1-49 employees,5-10 Lacs,"Married, with kid(s)",Above 20 years old,
51,05-10-22 9:32,05-10-22 9:45,R_2PAaNaWbzK0L0DV,10,it is a reputed company,,,10,it is safe and secure,,,New Delhi NCR,31-35,Male,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Below 10 years old,
52,05-10-22 9:41,05-10-22 9:45,R_1n7NxdAOiKXGgEM,9,Vdvdv dvdvdv fbfbfb f fbdvdvcfbfbd C fbfh,,,,,,,Bangalore,31-35,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop",Executive-Middle/ Senior management,Below 5 Lacs,"Single (includes divorced/ widowed), no kids ",,
53,05-10-22 9:34,05-10-22 9:46,R_2dM953BbbtRnzVp,,,10,"It is robust. It has evolved from simply a lock to a secure and modern age lock. Easily accessible, easily maintainable, easily serviceable.",,,10,It is easy to install and use. It is easily robust and strong.,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,Above 35 Lacs,"Married, with kid(s)",Below 10 years old,
54,05-10-22 9:38,05-10-22 9:46,R_2D5FGsVvTSV2vNM,9,Its a great brand and I love the locks and I have so many furnitres ,,,,,10,It's a great brand I love it. And its high quality,New Delhi NCR,31-35,Female,Graduation/ Post Graduation: Professional,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner",Executive-Middle/ Senior management,10-15 Lacs,"Married, with kid(s)",Below 10 years old,
55,05-10-22 9:39,05-10-22 9:46,R_2fBrj7nBYSVP3lQ,10,Because I satisfied with thieir products ,9,Because it's matches with my requirements ,,,,,Kolkata,22-25,Male,Graduation/ Post Graduation: General,"Electricity connection,Ceiling Fan,LPG Stove/ Gas Connection,Two-Wheeler,Colour TV,Refrigerator,Washing machine,Personal computer/ Laptop,Car/ Jeep/ Van,Air Conditioner","Self-employed profession. Eg: Doctor, Lawyer, Chartered Accountant",Above 35 Lacs,"Married, with kid(s)","Below 10 years old,10-15 years old",
